idiom,definition
window dressing,"The decorative display of retail merchandise in store windows; the goods and trimmings used in such a display. (uncountable) The process, skill or task of creating such a display. (idiomatic, uncountable) A means of creating a deceptively favourable impression of something or someone; something for appearance only."
window-shopping,(idiomatic) The browsing of shop windows without any intention of buying.
wing it,(idiomatic) To improvise; to make things up or figure things out as one goes; to perform with little or no preparation.
winning ways,(idiomatic) a winning streak; a sequence of winning games.
winter sun,"Used other than with a figurative or idiomatic meaning: see winter,‎ sun. (Britain, Ireland, travel) The off-season holiday market, typically to destinations in North Africa and Southern Europe."
wipe out,"(idiomatic) To destroy (especially, a large number of people or things); to obliterate. To physically erase something written. To do away with; to cause to disappear (intransitive) To crash, fall over (especially in board sports such as surfing, skateboarding etc.)"
wipe the slate clean,"(idiomatic) To make a fresh start, for example by forgetting about previous differences and disagreements."
wireless network,"Used other than with a figurative or idiomatic meaning: see wireless,‎ network. (computing) Devices connected to a network using a centralized wireless access point (WAP)."
wise guy,One who is insolent or flippant; one who makes jokes or perpetrates pranks. A knowledgable or successful sports bettor. (slang) A member of the Mafia; a mobster. (slang) A hipster.
wishful thinking,"(idiomatic, psychology) The illusion that what one would like is actually true. (idiomatic) Decision-making based on self-delusion."
with a grain of salt,(idiomatic) With a little common sense and skepticism. Generally used with the verb take.
with a view to,(idiomatic) With the intention or goal of (followed by a noun or the infinitive).
with an eye to,"(idiomatic) With an intention, goal, or consideration to."
with an eye towards,"(idiomatic) With an intention, goal, or consideration to."
with any luck,(colloquial) it is hoped that; hopefully
with one's head held high,"(idiomatic) proudly, with pride"
woe betide,(idiomatic) Bad things will happen to
wolf down,"(idiomatic) To consume (food) quickly, often without regard for table manners."
wolf in sheep's clothing,(idiomatic) A person or other performer of actions which is harmful or threatening but disguised as something peaceful or pleasant.
wooden spoon,"A spoon made from wood, commonly used in food preparation. (idiomatic) An ironic prize for finishing last in a competition. (Cambridge University slang, dated) The last junior optime who takes a university degree. (US, college slang, dated) The lowest appointee of the junior year; sometimes, one especially popular in his class, without reference to scholarship. Formerly, it was a custom for classmates to present to this person a wooden spoon with formal ceremonies."
word of mouth,(idiomatic) Verbal means of passing on information.
word on the street,(idiomatic) The rumour or news going around.
word play,"Used other than with a figurative or idiomatic meaning: see word,‎ play. A technique in which the nature of the words used become part of the subject of the work, such as puns, phonetic mix-ups such as spoonerisms, obscure words and meanings, clever rhetorical excursions, oddly formed sentences, and telling character names."
word to the wise,(idiomatic) A brief piece of advice.
word-for-word,Using exactly the same words (as were originally used).
work nights,"(euphemistic) To work at night as a prostitute. Used other than with a figurative or idiomatic meaning: see work,‎ nights."
work one's butt off,"(Canada, US, slang) To work very hard or to excess."
work one's magic,"(idiomatic) To achieve something favourable and desired through the application of special skills, talents, or expertise."
work out,"(transitive, with object after out) To calculate. (transitive) To make sense of. (transitive) To smooth or perfect. (intransitive) To conclude with the correct solution. (intransitive) To succeed; to result in a satisfactory situation. (intransitive) To exercise. (intransitive) To habitually exercise rigorously, especially by lifting weights, in order to increase strength or muscle mass or maintain fitness. (intransitive, US) To earn a wage working away from one's farm. (transitive, intransitive) Used other than with a figurative or idiomatic meaning: see work,‎ out."
work through,"Used other than with a figurative or idiomatic meaning: see work,‎ through. To get past a difficult or stressful situation by thinking or talking about it."
work to rule,"(idiomatic) To work slowly by strictly following all work rules, usually in a work-to-rule job action, as part of unionized labor protest."
work wonders,(idiomatic) (transitive with for) To be highly successful as a solution.
worked up,"(idiomatic, informal) Excessively emotional, excited, aroused or angry."
working girl,"(idiomatic, euphemistic) A female prostitute. (rare) Used other than with a figurative or idiomatic meaning: see working,‎ girl."
world-beater,(idiomatic) Someone or something superior to all others of its sort.
worlds apart,(idiomatic) Vastly different.
worse for wear,(idiomatic) in poor physical condition due to long or heavy use (idiomatic) drunk
worst of both worlds,"(idiomatic, singular only) A solution or scenario which combines the disadvantages of two opposed prior solutions, often having been intended to combine their benefits instead."
worth every penny,(idiomatic) Completely worth the money paid for it.
worth its weight in gold,(idiomatic) Very valuable.
worth one's salt,"(idiomatic) Competent or adept, especially at one's occupation."
worth one's while,"(idiomatic) Good and important enough for one to spend time, effort, or money on."
wouldn't hurt a fly,(idiomatic) Has a very gentle nature.
wouldn't you know,(idiomatic) Alternative form of wouldn't you know it
wouldn't you know it,"(idiomatic) Expresses dismay or annoyance, especially at misfortune."
wrap one's head around,"(informal, figuratively) To come to a good understanding of. (informal, more  literally, uncommon) To crash into (something, especially a pole) messily and fatally while travelling in a motor vehicle. Used other than with a figurative or idiomatic meaning: see wrap,‎ head,‎ around."
